release_date,title,vote_average,studio,domestic_gross,foreign_gross,year,Total_Revenue
2010-09-23,Jack Goes Boating,6.1,Over.,542000.0,77600.0,2010,619600.0
2011-02-11,Carancho,6.6,Strand,85500.0,3900000.0,2011,3985500.0
2011-02-11,Carancho,6.6,Strand,85500.0,3900000.0,2011,3985500.0
2010-10-01,A Somewhat Gentle Man,6.3,Strand,37700.0,1800000.0,2011,1837700.0
2010-10-01,Anjaana Anjaani,6.1,Eros,855000.0,761000.0,2010,1616000.0
2010-04-09,Letters to God,6.9,Viv.,2800000.0,60300.0,2010,2860300.0
2010-04-25,Coco Chanel & Igor Stravinsky,6.3,SPC,1600000.0,4099999.0,2010,5699999.0
2010-06-30,I Hate Luv Storys,6.1,UTV,848000.0,14900000.0,2010,15748000.0
2010-01-24,Waste Land,7.7,Arth.,188000.0,88700.0,2010,276700.0
2010-09-04,The First Grader,7.0,NGE,332000.0,382000.0,2011,714000.0
2010-11-05,Client 9: The Rise and Fall of Eliot Spitzer,6.4,Magn.,189000.0,3500.0,2010,192500.0
2010-05-21,Holy Rollers,5.9,FInd.,303000.0,305000.0,2010,608000.0
2010-11-05,For Colored Girls,6.8,LGF,37700000.0,17300.0,2010,37717300.0
2010-05-14,Sea Rex 3D: Journey to a Prehistoric World,7.4,3D,6100000.0,9900000.0,2010,16000000.0
2010-05-22,Perrier's Bounty,5.8,IFC,800.0,167000.0,2010,167800.0
2010-08-20,Mao's Last Dancer,7.0,Gold.,4800000.0,17500000.0,2010,22300000.0
2010-12-03,Miral,6.1,Wein.,373000.0,527000.0,2011,900000.0
2010-02-26,Karthik Calling Karthik,6.0,Eros,286000.0,7100.0,2010,293100.0
2010-11-26,Break Ke Baad,5.6,Relbig.,428000.0,389000.0,2010,817000.0
2010-04-30,The Good Heart,6.4,Magn.,20900.0,323000.0,2010,343900.0
2010-08-06,Spring Fever,5.9,Strand,10800.0,150000.0,2010,160800.0
2010-09-28,A Screaming Man,6.1,FM,9900.0,175000.0,2011,184900.0
2010-04-01,Pixels,7.1,Sony,78700000.0,166100000.0,2015,244800000.0
2015-07-24,Pixels,5.6,Sony,78700000.0,166100000.0,2015,244800000.0
2010-01-15,Chance Pe Dance,5.0,UTV,169000.0,24300.0,2010,193300.0
2010-05-21,Father of My Children,7.0,IFC,144000.0,335000.0,2010,479000.0
2010-05-14,Daddy Longlegs,6.3,IFC,21800.0,11500.0,2010,33300.0
2010-09-03,We Are Family,5.7,UTV,638000.0,393000.0,2010,1031000.0
2012-09-28,We Are Family,4.1,UTV,638000.0,393000.0,2010,1031000.0
2010-06-25,South of the Border,5.1,CLS,199000.0,70800.0,2010,269800.0
2010-07-30,Enemies of the People,6.8,ICir,73200.0,6400.0,2010,79600.0
2010-09-19,Picture Me,6.8,Strand,12000.0,10400.0,2010,22400.0
2010-01-01,Daddy's Home,6.0,Par.,150400000.0,92400000.0,2015,242800000.0
2015-12-25,Daddy's Home,6.1,Par.,150400000.0,92400000.0,2015,242800000.0
2010-02-26,Formosa Betrayed,6.3,Scre.,225000.0,101000.0,2010,326000.0
2010-04-23,Vidal Sassoon: The Movie,6.1,P4,86000.0,38600.0,2011,124600.0
2010-02-01,Get Out,5.5,Uni.,176000000.0,79400000.0,2017,255400000.0
2017-02-24,Get Out,7.5,Uni.,176000000.0,79400000.0,2017,255400000.0
2010-09-10,Resident Evil: Afterlife,5.9,SGem,60100000.0,240100000.0,2010,300200000.0
2010-08-07,Caterpillar,7.0,Lorb.,4200.0,248000.0,2011,252200.0
2011-05-06,Caterpillar,7.4,Lorb.,4200.0,248000.0,2011,252200.0
2010-04-02,The Thorn in the Heart,6.0,Osci.,7400.0,10500.0,2010,17900.0
